,EMPRESA,BARRA TRANSFERENCIA,CODIGO,ENTREGA/RETIRO,CENTRAL/CLIENTE
104,PETRAMAS,SANTA ROSA 220,EG00003PTM,Entrega,C.T. LA GRINGA
105,ENGIE,MOQUEGUA 138,EG00100ENG,Entrega,C.S. INTIPAMPA
106,ENEL GENERACION PERU S.A.A.,POROMA220,EG00002EGP,Entrega,C.E. WAYRA I
107,INLAND ENERGY SAC,SANTA TERESA 220,EG00010INL,Entrega,C.H. SANTA TERESA
108,EMPRESA DE GENERACION ELECTRICA SANTA ANA S.A.C.,CONDORCOCHA 44,EG00001STA,Entrega,C.H. RENOVANDES H1
109,CELEPSA RENOVABLES S.R.L.,MARAÑON 60,EG00001CLR,Entrega,C.H. MARAÑON
110,ENEL GENERACION PERU S.A.A.,CALLAHUANCA EDEGEL 220,EG00120EPE,Entrega,C.H. HER 1
111,ENEL GENERACION PERU S.A.A.,SANTA ROSA 220,EG00103EPE,Entrega,C.T. SANTA ROSA II
112,PETRAMAS,SANTA ROSA 220,EG00004PTM,Entrega,C.T.B DOÑA CATALINA
113,GENERADORA DE ENERGÍA DEL PERÚ,SAN GABAN 138,EG00003GEP,Entrega,C.H. ÁNGEL I
114,GENERADORA DE ENERGÍA DEL PERÚ,SAN GABAN 138,EG00004GEP,Entrega,C.H. ÁNGEL II
115,GENERADORA DE ENERGÍA DEL PERÚ,SAN GABAN 138,EG00005GEP,Entrega,C.H. ÁNGEL III
116,ANDEAN POWER S.A.C.,CALLAHUANCA EDEGEL 220,EG00001ANP,Entrega,C.H. CARHUAC
117,AGROINDUSTRIAS SAN JACINTO S.A.A.,PLANTA SAN JACINTO13.8,EG00001ASJ,Entrega,C.T. SAN JACINTO
118,FENIX POWER PERÚ,ZORRITOS 220,EG00118FPP,Entrega,C.T. FENIX
119,EMPRESA DE GENERACION ELECTRICA RIO BAÑOS S.A.C.,ZAPALLAL 220,EG00002ERB,Entrega,C.H. RUCUY
120,ENEL GENERACION PIURA S.A.,TALARA 220,EG00040EPI,Entrega,C.T. RF DE GENERACION TALARA
121,ENEL GENERACION PIURA S.A.,TALARA13.2,EG00039EPI,Entrega,C.T. MALACAS 1
122,BIOENERGIA DEL CHIRA S.A.,BIOENERGIA 13.8,EG00001BCH,Entrega,C.T. CAÑA BRAVA
123,GENERACIÓN ANDINA S.A.C.,TINGO MARIA 138,EG00001GAN,Entrega,C.H. EL CARMEN
124,GENERACIÓN ANDINA S.A.C.,TINGO MARIA 138,EG00002GAN,Entrega,C.H. 8 DE AGOSTO
125,PERUANA DE INVERSIONES EN ENERGIAS RENOVABLES S.A.,HUALLANCA 138,EG00001PER,Entrega,C.H. MANTA I
126,PETRAMAS,VENTANILLA 220,EG00005PTM,Entrega,C.T.B. CALLAO
127,GR PAINO SOCIEDAD ANONIMA CERRADA,CARHUAQUERO 138,EG00001PAI,Entrega,C.E. HUAMBOS
128,GR TARUCA SOCIEDAD ANONIMA CERRADA,CARHUAQUERO 220,EG00001TAR,Entrega,C.E. DUNA
129,LA VIRGEN,LA VIRGEN 138,EG00001VIR,Entrega,C.H. LA VIRGEN
130,ATRIA ENERGIA S.A.C.,PURMACANA 20,EG00002HSR,Entrega,C.H. PURMACANA
131,CENTRALES SANTA ROSA S.A.C.,SANTA ROSA I 22.9,EG00001CSR,Entrega,C.H. SANTA ROSA I
132,CENTRALES SANTA ROSA S.A.C.,SANTA ROSA II 22.9,EG00002CSR,Entrega,C.H. SANTA ROSA II
133,COLCA SOLAR S.A.C.,YARUCAYA 13.8,EG00001CSO,Entrega,C.S. YARUCAYA
134,SAN GABAN,TUPURI 22.9,EG00025SGB,Entrega,MCH TUPURI
135,ENGIE,PUNTA LOMITAS I,EG00101ENG,Entrega,C.E. PUNTA LOMITAS-BL1
136,ENGIE,PUNTA LOMITAS II,EG00102ENG,Entrega,C.E. PUNTA LOMITAS-BL2
137,ENGIE,PUNTA LOMITAS I,EG00103ENG,Entrega,C.E. PUN LOM_EXP-BL1
138,ENGIE,PUNTA LOMITAS II,EG00104ENG,Entrega,C.E. PUN LOM_EXP-BL2
139,ENEL GENERACION PERU S.A.A.,RUBI 220,EG00003EGP,Entrega,C.S. Clemesí
140,ENGIE,PUNTA LOMITAS I,EG00105ENG,Entrega,C.E. PUNTA LOMITAS-BL2
141,ENGIE,PUNTA LOMITAS I,EG00106ENG,Entrega,C.E. PUN LOM_EXP-BL2
142,ENGIE,PUNTA LOMITAS II,EG00107ENG,Entrega,C.E. PUNTA LOMITAS-BL1
143,ENGIE,PUNTA LOMITAS II,EG00108ENG,Entrega,C.E. PUN LOM_EXP-BL1
144,RETIRO NO DECLARADO,TRUJILLO 220,UR00003RNC,Retiro,MINERA QUIRUVILCA
145,RETIRO NO DECLARADO,OROYA NUEVA 50,UR00109RNC,Retiro,SOCIEDAD MINERA AUSTRIA DUVAZ S.A.C
146,RETIRO NO DECLARADO,OROYA NUEVA 50,UR00140RNC,Retiro,SIERRA POLI S.A.C.
147,RETIRO NO DECLARADO,CHILCA REP 220,UR00192RNC,Retiro,CONSORCIO TEXTIL VIANNY S.A.C.
148,RETIRO NO DECLARADO,PARAGSHA2 220,UR00193RNC,Retiro,CERRO DE PASCO RESOURCES SUBSIDIARIA DEL PERU S.A.
149,RETIRO NO DECLARADO,CARHUAMAYO 138,UR00195RNC,Retiro,CERRO DE PASCO RESOURCES SUBSIDIARIA DEL PERU S.A.
150,RETIRO NO DECLARADO,INDUSTRIALES 220,UR00233RNC,Retiro,AJ GROUP INVERGAS SOCIEDAD ANONIMA CERRADA
151,RETIRO NO DECLARADO,PLANICIE220,UR00234RNC,Retiro,DISTRIBUIDORA KATAL S.A. - DISKAT S.A.
152,RETIRO NO DECLARADO,INDUSTRIALES 220,UR00235RNC,Retiro,FIGTUR S.A.
153,RETIRO NO DECLARADO,SAN JUAN 220,UR00238RNC,Retiro,VIJOGAS S.A.C.
154,RETIRO NO DECLARADO,SAN JUAN 220,UR00239RNC,Retiro,UNIONPLAST S A
155,RETIRO NO DECLARADO,INDEPENDENCIA 220,UR00240RNC,Retiro,FABRICA DE TEJIDOS PISCO
156,RETIRO NO DECLARADO,SAN JUAN 220,UR00245RNC,Retiro,CORPORACION BOLSIPOL S.A.C.
157,RETIRO NO DECLARADO,PLANICIE220,UR00246RNC,Retiro,INMOBILIARIA ROMAREN S.A.C.
158,RETIRO NO DECLARADO,PLANICIE220,UR00247RNC,Retiro,UNIVERSIDAD DE CIENCIAS Y ARTES DE AMERICA LATINA
159,RETIRO NO DECLARADO,SAN JUAN 220,UR00248RNC,Retiro,MALECON BALTA OPERATOR S.A.C
160,RETIRO NO DECLARADO,SAN JUAN 220,UR00249RNC,Retiro,SUDAMERICANA PLASTICS S.A.C.
161,RETIRO NO DECLARADO,SAN JUAN 220,UR00250RNC,Retiro,HOTEL LIMAFORES 290 S.A.C.
162,RETIRO NO DECLARADO,SAN JUAN 220,UR00251RNC,Retiro,INRETAIL PHARMA S.A.
163,ELECTROPERU,GUADALUPE 60,CB00033ELP,Retiro,CEMENTOS PACASMAYO
164,ELECTROPERU,INDEPENDENCIA 220,CB00043ELP,Retiro,ACEROS AREQUIPA
165,RETIRO NO DECLARADO,ZORRITOS 220,UR00254RNC,Retiro,COMISION DE USUARIOS PUERTO EL CURA
166,RETIRO NO DECLARADO,MARCONA 220,UR00255RNC,Retiro,EMPRESA AGRO EXPORT ICA S.A.C.
167,RETIRO NO DECLARADO,MARCONA 220,UR00257RNC,Retiro,EMPRESA MINERA OTAPARA S.A.- EMOTSA
168,RETIRO NO DECLARADO,CHICLAYO 220,UR00261RNC,Retiro,MOLINOS LOS ANGELES S.R.L
169,ELECTROPERU,CHAVARRIA 220,CL00020ELP,Retiro,ENEL DISTRIBUCION PERU
170,ELECTROPERU,HUACHO 220,CL00035ELP,Retiro,ENEL DISTRIBUCION PERU
171,RETIRO NO DECLARADO,PIURA OESTE 220,UR00264RNC,Retiro,SOCIEDAD AGRICOLA VIRU S.A.
172,ELECTROPERU,PARAMONGA NUEVA 220,CL00063ELP,Retiro,ENEL DISTRIBUCION PERU
173,RETIRO NO DECLARADO,PLANICIE220,UR00265RNC,Retiro,BAC THOR S.A.C.
174,ELECTROPERU,SANTA ROSA 220,CL00079ELP,Retiro,ENEL DISTRIBUCION PERU
175,RETIRO NO DECLARADO,MARCONA 220,UR00266RNC,Retiro,INTERMINERA S.A.C.
176,ELECTROPERU,VENTANILLA 220,CL00095ELP,Retiro,ENEL DISTRIBUCION PERU
177,ELECTROPERU,ZAPALLAL 220,CL00096ELP,Retiro,ENEL DISTRIBUCION PERU
178,ELECTROPERU,PIURA OESTE 220,CL00066ELP,Retiro,ELECTRONOROESTE S.A.
179,ELECTROPERU,TALARA 220,CL00086ELP,Retiro,ELECTRONOROESTE S.A.
180,ELECTROPERU,ZORRITOS 220,CL00097ELP,Retiro,ELECTRONOROESTE S.A.
181,ELECTROPERU,CARHUAQUERO 220,CL00019ELP,Retiro,ELECTRONORTE S.A.
182,ELECTROPERU,CHICLAYO 220,CL00023ELP,Retiro,ELECTRONORTE S.A.
183,ELECTROPERU,AGUAYTIA 22.9,CB00002ELP,Retiro,ELECTRO UCAYALI
184,ELECTROPERU,PUCALLPA 60,CB00069ELP,Retiro,ELECTRO UCAYALI
185,ELECTROPERU,CAJAMARCA 220,CL00008ELP,Retiro,HIDRANDINA
186,ELECTROPERU,CHIMBOTE1 138,CL00027ELP,Retiro,HIDRANDINA
187,ELECTROPERU,CHIMBOTE1 220,CL00001ELP,Retiro,HIDRANDINA
188,ELECTROPERU,GUADALUPE 220,CL00032ELP,Retiro,HIDRANDINA
189,ELECTROPERU,GUADALUPE 60,CL00034ELP,Retiro,HIDRANDINA
190,ELECTROPERU,HUALLANCA 138,CL00036ELP,Retiro,HIDRANDINA
191,ELECTROPERU,PARAMONGA NUEVA 220,CL00064ELP,Retiro,HIDRANDINA
192,ELECTROPERU,TRUJILLO 220,CL00092ELP,Retiro,HIDRANDINA
193,ELECTROPERU,INDUSTRIALES 220,CL00045ELP,Retiro,LUZ DEL SUR
194,ELECTROPERU,SAN JUAN 220,CL00077ELP,Retiro,LUZ DEL SUR
195,ELECTROPERU,SANTA ROSA 220,CL00078ELP,Retiro,LUZ DEL SUR
196,ELECTROPERU,INDEPENDENCIA 220,CB00098ELP,Retiro,LINDE PERU S.R.L.
197,ELECTROPERU,INDEPENDENCIA 220,CB00044ELP,Retiro,FABRICA DE TEJIDOS PISCO
198,ELECTROPERU,CHILINA 138,CL00026ELP,Retiro,SEAL
199,ELECTROPERU,MARCONA 220,CL00053ELP,Retiro,SEAL
200,ELECTROPERU,MOLLENDO 138,CL00054ELP,Retiro,SEAL
201,ELECTROPERU,REPARTICIÓN 138,CL00072ELP,Retiro,SEAL
202,ELECTROPERU,SANTUARIO 138,CL00082ELP,Retiro,SEAL
203,ELECTROPERU,SOCABAYA 138,CL00085ELP,Retiro,SEAL
204,TERMOSELVA,OROYA NUEVA 50,CB00028TER,Retiro,SOCIEDAD MINERA AUSTRIA DUVAZ S.A.C
205,TERMOSELVA,CHAVARRIA 220,CL00011TER,Retiro,ENEL DISTRIBUCION PERU
206,TERMOSELVA,HUACHO 220,CL00020TER,Retiro,ENEL DISTRIBUCION PERU
207,TERMOSELVA,PARAMONGA NUEVA 220,CL00032TER,Retiro,ENEL DISTRIBUCION PERU
208,TERMOSELVA,SANTA ROSA 220,CL00041TER,Retiro,ENEL DISTRIBUCION PERU
209,TERMOSELVA,VENTANILLA 220,CL00048TER,Retiro,ENEL DISTRIBUCION PERU
210,TERMOSELVA,ZAPALLAL 220,CL00049TER,Retiro,ENEL DISTRIBUCION PERU
211,TERMOSELVA,PIURA OESTE 220,CL00036TER,Retiro,ELECTRONOROESTE S.A.
212,CELEPSA,CONDORCOCHA 138,CB00024CLP,Retiro,UNACEM CORP SOCIEDAD ANONIMA ABIERTA - UNACEMCORP S.A.A.
213,CELEPSA,SAN JUAN 220,CB00067CLP,Retiro,UNACEM CORP SOCIEDAD ANONIMA ABIERTA - UNACEMCORP S.A.A.
214,CELEPSA,COTARUSE 220,CB00027CLP,Retiro,MINERA ARES
215,TERMOSELVA,TALARA 220,CL00042TER,Retiro,ELECTRONOROESTE S.A.
216,TERMOSELVA,ZORRITOS 220,CL00050TER,Retiro,ELECTRONOROESTE S.A.
217,TERMOSELVA,CARHUAQUERO 220,CL00010TER,Retiro,ELECTRONORTE S.A.
218,TERMOSELVA,CHICLAYO 220,CL00014TER,Retiro,ELECTRONORTE S.A.
219,TERMOSELVA,TOCACHE 138,CL00045TER,Retiro,ELECTRO ORIENTE
220,TERMOSELVA,TINGO MARIA 138,CB00044TER,Retiro,ETESELVA
221,CELEPSA,ICA 220,CB00041CLP,Retiro,ELECTRO DUNAS
222,CELEPSA,INDEPENDENCIA 220,CB00042CLP,Retiro,ELECTRO DUNAS
223,CELEPSA,MARCONA 220,CB00049CLP,Retiro,ELECTRO DUNAS
224,TERMOSELVA,CAJAMARCA 220,CL00004TER,Retiro,HIDRANDINA
225,TERMOSELVA,CHIMBOTE1 138,CL00016TER,Retiro,HIDRANDINA
226,TERMOSELVA,CHIMBOTE1 220,CL00001TER,Retiro,HIDRANDINA
227,TERMOSELVA,GUADALUPE 220,CL00018TER,Retiro,HIDRANDINA
228,CELEPSA,INDEPENDENCIA 220,CB00044CLP,Retiro,SACOS PISCO
229,CELEPSA,SAN JUAN 220,CB00066CLP,Retiro,OPP FILM
230,TERMOSELVA,GUADALUPE 60,CL00019TER,Retiro,HIDRANDINA
231,TERMOSELVA,HUALLANCA 138,CL00021TER,Retiro,HIDRANDINA
232,TERMOSELVA,PARAMONGA NUEVA 220,CL00033TER,Retiro,HIDRANDINA
233,TERMOSELVA,TRUJILLO 220,CL00047TER,Retiro,HIDRANDINA
234,TERMOSELVA,INDUSTRIALES 220,CL00027TER,Retiro,LUZ DEL SUR
235,TERMOSELVA,SAN JUAN 220,CL00039TER,Retiro,LUZ DEL SUR
236,TERMOSELVA,SANTA ROSA 220,CL00040TER,Retiro,LUZ DEL SUR
237,TERMOSELVA,CHILCA REP 220,CL00015TER,Retiro,LUZ DEL SUR
238,TERMOSELVA,CARABAYLLO 220,CL00007TER,Retiro,ENEL DISTRIBUCION PERU
239,TERMOSELVA,CALLAHUANCA EDEGEL 220,CL00139TER,Retiro,LUZ DEL SUR
240,CHINANGO S.A.C.,ARICOTA66,CL00002CHI,Retiro,ELECTROSUR S.A.
241,CHINANGO S.A.C.,ILO ELP 138,CL00022CHI,Retiro,ELECTROSUR S.A.
242,CHINANGO S.A.C.,LOS HEROES 66,CL00025CHI,Retiro,ELECTROSUR S.A.
243,CHINANGO S.A.C.,MOQUEGUA 138,CL00029CHI,Retiro,ELECTROSUR S.A.
244,CHINANGO S.A.C.,SOCABAYA 138,CL00041CHI,Retiro,ELECTROSUR S.A.
245,CHINANGO S.A.C.,TOQUEPALA 138,CL00044CHI,Retiro,ELECTROSUR S.A.
246,CHINANGO S.A.C.,AYAVIRI 138,CL00003CHI,Retiro,ELECTRO PUNO
247,CHINANGO S.A.C.,AZANGARO 138,CL00004CHI,Retiro,ELECTRO PUNO
248,CHINANGO S.A.C.,JULIACA 138,CL00024CHI,Retiro,ELECTRO PUNO
249,CHINANGO S.A.C.,PUNO 138,CL00032CHI,Retiro,ELECTRO PUNO
250,CHINANGO S.A.C.,SAN GABAN 138,CL00035CHI,Retiro,ELECTRO PUNO
251,CHINANGO S.A.C.,CACHIMAYO 138,CL00005CHI,Retiro,ELECTRO SUR ESTE
252,CHINANGO S.A.C.,COMBAPATA 138,CL00016CHI,Retiro,ELECTRO SUR ESTE
253,CHINANGO S.A.C.,DOLORESPATA 138,CL00017CHI,Retiro,ELECTRO SUR ESTE
254,CHINANGO S.A.C.,MACHUPICCHU 138,CL00026CHI,Retiro,ELECTRO SUR ESTE
255,CHINANGO S.A.C.,QUENCORO 138,CL00033CHI,Retiro,ELECTRO SUR ESTE
256,CHINANGO S.A.C.,SAN GABAN 138,CL00036CHI,Retiro,ELECTRO SUR ESTE
257,CHINANGO S.A.C.,TINTAYA EXISTENTE 138,CL00043CHI,Retiro,ELECTRO SUR ESTE
258,CHINANGO S.A.C.,CAJAMARCA 220,CL00006CHI,Retiro,HIDRANDINA
259,CHINANGO S.A.C.,CHIMBOTE1 138,CL00015CHI,Retiro,HIDRANDINA
260,CHINANGO S.A.C.,CHIMBOTE1 220,CL00001CHI,Retiro,HIDRANDINA
261,CHINANGO S.A.C.,GUADALUPE 220,CL00018CHI,Retiro,HIDRANDINA
262,CHINANGO S.A.C.,GUADALUPE 60,CL00019CHI,Retiro,HIDRANDINA
263,CHINANGO S.A.C.,HUALLANCA 138,CL00021CHI,Retiro,HIDRANDINA
264,CHINANGO S.A.C.,PARAMONGA NUEVA 220,CL00031CHI,Retiro,HIDRANDINA
265,CHINANGO S.A.C.,TRUJILLO 220,CL00045CHI,Retiro,HIDRANDINA
266,CHINANGO S.A.C.,CALLAHUANCA EDEGEL 220,CL00139CHI,Retiro,LUZ DEL SUR
267,CHINANGO S.A.C.,CHILCA REP 220,CL00011CHI,Retiro,LUZ DEL SUR
268,CHINANGO S.A.C.,INDUSTRIALES 220,CL00023CHI,Retiro,LUZ DEL SUR
269,CHINANGO S.A.C.,SAN JUAN 220,CL00037CHI,Retiro,LUZ DEL SUR
